id,created,createdBy,updated,updatedBy,questionId,answerText,isCorrect,score
204,"2024-08-12T13:09:59.000Z",3931,"2024-08-12T13:09:59.000Z",3931,42,"We have no data governance framework.","",1
205,"2024-08-12T13:09:59.000Z",3931,"2024-08-12T13:09:59.000Z",3931,42,"Our data governance initiatives directly support and clearly align with our overall business strategy and objectives.","",2
206,"2024-08-12T13:09:59.000Z",3931,"2024-08-12T13:09:59.000Z",3931,42,"Our data governance framework outlines the roles and responsibilities of different stakeholders (e.g., data owners, data stewards, business units) in data-related decision-making.","",3
207,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,42,"Our data governance processes are designed to break down silos and promote cross-functional collaboration across the organization.","",4
208,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,42,"We have a well-defined understanding of the scope of our 'enterprise' from a data governance perspective.","",5
209,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,42,"Our data governance priorities are regularly reviewed and adjusted to reflect changes in business needs and priorities.","",6
210,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,43,"We have not perform assessment to measure program�s effectiveness includes: data management maturity, capacity to change, collaborative readiness and business alignment.","",1
211,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,43,"Our organization has a well-defined set of data management best practices and standards.","",2
212,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,43,"We regularly assess the effectiveness of our data management practices.","",3
213,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,43,"Data quality and integrity are consistently prioritized across business functions.","",4
214,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,43,"Data management roles and responsibilities (e.g., data owners, data stewards) are clearly defined.","",5
215,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,43,"We have the necessary tools and technologies in place to support our data management needs.","",6
216,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,44,"We have not perform assessment in the areas of data quality, data management practices.","",1
217,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,44,"Our organization has a comprehensive understanding of its existing data-related policies, guidelines, and practices.","",2
218,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,44,"We have thoroughly assessed the risks associated with poor data quality and identified the business processes most impacted.","",3
219,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,44,"We have analyzed our current data management practices and identified key areas for improvement.","",4
220,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,44,"We have a process for prioritizing data governance initiatives based on their potential impact on business goals.","",5
221,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,44,"Our data governance roadmap aligns with our overall strategic roadmap and technology plans.","",6
222,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,45,"We have not establish any touchpoints with key functions (Procurement, Compliance, etc.) have led to measurable improvements in data management consistency.","",1
223,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,45,"Our data governance program has established clear channels of communication and collaboration with Procurement/Contracts.","",2
224,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,45,"The Chief Data Officer or equivalent has a visible role in influencing data-centric decision-making across the organization.","",3
225,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,45,"The value of data governance is well-understood by the functions with whom we have established touchpoints.","",4
226,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,45,"Our touchpoint strategy effectively promotes a cohesive approach to data management across the enterprise.","",5
227,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,45,"We regularly review and update our organizational touchpoints to adapt to evolving business needs.","",6
228,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,46,"We have not develop data governance strategy.","",1
229,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,46,"Our data governance strategy is well-understood and supported by key stakeholders across the organization.","",2
230,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,46,"Our data governance strategy is closely aligned with our data management and IT strategies.","",3
231,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,46,"Our data governance processes are effectively integrated into core business operations.","",4
232,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,46,"The value and benefits of our data governance strategy are clearly communicated to the broader organization.","",5
233,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,46,"Our data governance strategy is regularly reviewed and updated to reflect changes in business needs and priorities.","",6
234,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,47,"We have not establish DG operating framework.","",1
235,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,47,"Our data governance operating framework has been effectively communicated and understood across the organization.","",2
236,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,47,"Our operating framework successfully facilitates collaboration between data governance teams and those executing data management initiatives.","",3
237,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,47,"We have integrated change management principles into our framework to promote smooth adoption of data governance practices.","",4
238,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,47,"Our operating framework includes well-defined processes for resolving data-related issues.","",5
239,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,47,"Our data governance efforts are directly contributing to demonstrable business benefits.","",6
240,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,48,"We do not have DG goals, principles, and policies defined.","",1
241,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,48,"Our data governance goals are clearly derived from and directly support our overall data governance strategy.","",2
242,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,48,"We have well-defined principles that guide our data-related decision-making and practices.","",3
243,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,48,"Our data governance policies are comprehensive and address key areas like data quality, access, privacy, and security.","",4
244,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,48,"Our policies are created through a collaborative process involving data stewards, business stakeholders, and relevant experts.","",5
245,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,48,"We have a clear process for the review, revision, and adoption of data governance policies.","",6
246,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,49,"We have no process for identifying and prioritizing data management improvement projects.","",1
247,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,49,"Our organization has a clear process for identifying and prioritizing data management improvement projects.","",2
248,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,49,"Data management projects consistently receive buy-in and support from cross-functional stakeholders.","",3
249,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,49,"We effectively articulate the business value and potential ROI of data management initiatives to executive sponsors.","",4
250,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,49,"Our Data Governance Council (or equivalent) plays an active role in defining business cases and overseeing project progress.","",5
251,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,49,"We have well-established coordination between our Data Governance Council and Project Management Office (PMO) functions.","",6
252,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,50,"We have no change management.","",1
253,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,50,"Our stakeholders (employees, leaders, etc.) understand the importance of change management in our data governance efforts.","",2
254,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,50,"We have an assigned team or individuals responsible for planning and implementing change management activities related to data governance.","",3
255,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,50,"Our data governance training programs are comprehensive and reach employees at all levels.","",4
256,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,50,"We incorporate data governance considerations into our project management processes.","",5
257,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,50,"Our communications strategy seeks feedback throughout the data governance change process and uses that feedback to make improvements.","",6
258,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,51,"We do not have issue management.","",1
259,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,51,"Our organization has a well-defined process for identifying, logging, and tracking data governance issues.","",2
260,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,51,"We have clear guidelines for escalating unresolved issues to the appropriate decision-making bodies (e.g., Data Stewards, Data Governance Council).","",3
261,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,51,"We prioritize issues based on their potential impact on business goals and compliance requirements.","",4
262,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,51,"We thoroughly document resolutions, including root causes and agreed-upon actions.","",5
263,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,51,"We track key performance indicators (KPIs) related to issue resolution efficiency (e.g., time to resolution, percentage of issues resolved at different levels).","",6
264,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,52,"We have no process or mechanism for monitoring adherence to data-related regulatory requirements.","",1
265,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,52,"Our organization has a comprehensive understanding of the regulatory landscape that impacts our data management practices.","",2
266,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,52,"We have a dedicated process for identifying and analyzing new or changing data-related regulations.","",3
267,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,52,"Our data governance team actively collaborates with legal, compliance, and risk management functions to assess regulatory implications for data.","",4
268,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,52,"We have clear guidelines in place to translate regulatory requirements into actionable data governance policies and procedures.","",5
269,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,52,"We have well-defined timelines and accountability structures for achieving and maintaining compliance with relevant regulations.","",6
270,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,53,"We have no implementation roadmap that outlines key milestones, timelines, and dependencies for our data governance program.","",1
271,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,53,"We have well-defined procedures in place for key data governance activities (e.g., issue resolution, policy development).","",2
272,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,53,"We are actively developing a comprehensive business glossary with clear definitions and standards for data terms.","",3
273,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,53,"We have established strong collaboration between data governance, enterprise architecture, and data architecture teams.","",4
274,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,53,"We have processes in place to assess the financial value of our data assets, informing decision-making and prioritization.","",5
275,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,53,"We regularly review and prioritize our foundational data governance activities to ensure alignment with our evolving needs.","",6
276,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,54,"We do not have well-documented procedure for key data management activities.","",1
277,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,54,"Our organization has a clear process for developing, documenting, and approving data standards.","",2
278,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,54,"We have well-defined criteria for determining when standards are mandatory.","",3
279,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,54,"Our data standards align with industry best practices and relevant regulations.","",4
280,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,54,"We have effective mechanisms for communicating and enforcing data standards across the organization.","",5
281,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,54,"We regularly review and update our data standards to reflect changes in business requirements and technology.","",6
282,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,55,"We do not have business glossary that includes clear and unambiguous definitions for our core business terms.","",1
283,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,55,"Our business glossary is easily accessible and widely used across the organization.","",2
284,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,55,"Employees at all levels understand the importance and value of a shared business vocabulary.","",3
285,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,55,"We provide training and resources to help employees effectively use the business glossary.","",4
286,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,55,"The business glossary is consistently referenced during data modeling, analysis, and reporting activities.","",5
287,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,55,"Our business glossary has improved communication and collaboration across different departments and functions.","",6
288,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,56,"1.� We have no process for data governance team for collaborating with data architects on data modeling and design.","",1
289,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,56,"2.� Our data governance team has a well-defined process for collaborating with data architects on data modeling and design.","",2
290,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,56,"3.� Data Stewards play an active role in reviewing and contributing to the enterprise data model.","",3
291,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,56,"4.� Our data architecture artifacts (e.g., data models, metadata standards) are readily accessible and understood by data governance stakeholders.","",4
292,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,56,"5.� Our change management processes effectively address the impact of business changes on our data architecture.","",5
293,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,56,"6.� We have clear channels of communication for resolving potential conflicts or discrepancies between data governance principles and architectural decisions.","",6
294,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,57,"We have no understanding of the business value of our data assets.","",1
295,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,57,"Our organization recognizes data and information as valuable business assets.","",2
296,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,57,"We have a well-defined methodology for estimating the financial value of our data assets.","",3
297,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,57,"Our data asset valuation framework takes into account both the direct and indirect benefits of data (e.g., cost savings, improved decision-making, etc.).","",4
