id,created,createdBy,updated,updatedBy,questionText,questionType,categoryId,answersCount,responseType,isRequired,subCategoryId,categoryName,subCategoryName
42,"2024-08-12T13:09:59.000Z",3931,"2024-08-29T14:15:19.000Z",3888,"Define data governance for the organization","Single Choice",38,8,"",1,61,"Data Governance","Data Governance"
43,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,"Perform Readiness Assessment","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
44,"2024-08-12T13:10:00.000Z",3931,"2024-08-12T13:10:00.000Z",3931,"Perform Discovery and Business Alignment","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
45,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,"Develop Organizational Touch Points","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
46,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,"Develop Data Governance Strategy","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
47,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,"Define the DG Operating Framework","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
48,"2024-08-12T13:10:01.000Z",3931,"2024-08-12T13:10:01.000Z",3931,"Develop Goals, Principles, and Policies","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
49,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,"Underwrite Data Management Projects","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
50,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,"Engage Change Management","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
51,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,"Engage in Issue Management","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
52,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,"Assess Regulatory Compliance Requirements","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
53,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,"Implement Data Governance","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
54,"2024-08-12T13:10:02.000Z",3931,"2024-08-12T13:10:02.000Z",3931,"Sponsor Data Standards and Procedures","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
55,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,"Develop a Business Glossary","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
56,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,"Coordinate with Architecture Groups","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
57,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,"Sponsor Data Asset Valuation","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
58,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,"Embed Data Governance","Single Choice",38,6,"",1,61,"Data Governance","Data Governance"
59,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,"Establish Data Architecture Practice","Single Choice",39,6,"",1,62,"Data Architecture","Data Architecture"
60,"2024-08-12T13:10:04.000Z",3931,"2024-08-12T13:10:04.000Z",3931,"Evaluate Existing Data Architecture Specifications","Single Choice",39,6,"",1,62,"Data Architecture","Data Architecture"
61,"2024-08-12T13:10:04.000Z",3931,"2024-08-12T13:10:04.000Z",3931,"Develop a Roadmap","Single Choice",39,6,"",1,62,"Data Architecture","Data Architecture"
