id,created,createdBy,updated,updatedBy,surveyId,categoryId
1,"2024-08-12T12:56:17.000Z",3931,"2024-08-12T12:56:17.000Z",3931,1,83
2,"2024-08-12T12:56:18.000Z",3931,"2024-08-12T12:56:18.000Z",3931,1,84
3,"2024-08-12T12:56:18.000Z",3931,"2024-08-12T12:56:18.000Z",3931,1,85
4,"2024-08-12T12:56:19.000Z",3931,"2024-08-12T12:56:19.000Z",3931,1,86
5,"2024-08-12T12:56:20.000Z",3931,"2024-08-12T12:56:20.000Z",3931,1,87
6,"2024-08-12T13:06:06.000Z",3931,"2024-08-12T13:06:06.000Z",3931,2,38
7,"2024-08-12T13:09:59.000Z",3931,"2024-08-12T13:09:59.000Z",3931,3,38
8,"2024-08-12T13:10:03.000Z",3931,"2024-08-12T13:10:03.000Z",3931,3,39
9,"2024-08-12T13:10:05.000Z",3931,"2024-08-12T13:10:05.000Z",3931,3,40
10,"2024-08-12T13:10:06.000Z",3931,"2024-08-12T13:10:06.000Z",3931,3,41
11,"2024-08-12T13:10:06.000Z",3931,"2024-08-12T13:10:06.000Z",3931,3,42
12,"2024-08-12T13:10:07.000Z",3931,"2024-08-12T13:10:07.000Z",3931,3,43
13,"2024-08-12T13:10:08.000Z",3931,"2024-08-12T13:10:08.000Z",3931,3,44
14,"2024-08-12T13:10:08.000Z",3931,"2024-08-12T13:10:08.000Z",3931,3,45
15,"2024-08-12T13:10:09.000Z",3931,"2024-08-12T13:10:09.000Z",3931,3,46
16,"2024-08-12T13:10:10.000Z",3931,"2024-08-12T13:10:10.000Z",3931,3,47
17,"2024-08-12T13:10:12.000Z",3931,"2024-08-12T13:10:12.000Z",3931,3,48
18,"2024-08-12T13:19:44.000Z",3931,"2024-08-12T13:19:44.000Z",3931,4,25
19,"2024-08-12T13:19:49.000Z",3931,"2024-08-12T13:19:49.000Z",3931,4,27
23,"2024-08-13T05:13:07.000Z",3931,"2024-08-13T05:13:07.000Z",3931,6,43
24,"2024-08-13T05:13:21.000Z",3931,"2024-08-13T05:13:21.000Z",3931,6,44
25,"2024-08-13T05:13:36.000Z",3931,"2024-08-13T05:13:36.000Z",3931,6,45
26,"2024-08-13T05:13:54.000Z",3931,"2024-08-13T05:13:54.000Z",3931,6,46
27,"2024-08-13T12:48:21.000Z",3931,"2024-08-13T12:48:21.000Z",3931,7,30
28,"2024-08-13T12:48:24.000Z",3931,"2024-08-13T12:48:24.000Z",3931,7,32
29,"2024-08-13T12:48:24.000Z",3931,"2024-08-13T12:48:24.000Z",3931,7,33
30,"2024-08-13T12:48:25.000Z",3931,"2024-08-13T12:48:25.000Z",3931,7,7
31,"2024-08-13T12:50:50.000Z",3931,"2024-08-13T12:50:50.000Z",3931,8,10
32,"2024-08-13T12:50:51.000Z",3931,"2024-08-13T12:50:51.000Z",3931,8,11
33,"2024-08-13T12:50:51.000Z",3931,"2024-08-13T12:50:51.000Z",3931,8,13
34,"2024-08-13T12:50:53.000Z",3931,"2024-08-13T12:50:53.000Z",3931,8,15
35,"2024-08-13T12:50:54.000Z",3931,"2024-08-13T12:50:54.000Z",3931,8,17
36,"2024-08-13T12:52:32.000Z",3931,"2024-08-13T12:52:32.000Z",3931,9,19
37,"2024-08-13T12:52:33.000Z",3931,"2024-08-13T12:52:33.000Z",3931,9,21
38,"2024-08-13T12:52:33.000Z",3931,"2024-08-13T12:52:33.000Z",3931,9,23
39,"2024-08-13T12:52:33.000Z",3931,"2024-08-13T12:52:33.000Z",3931,9,26
